lipidClassSL,Gender,Tissue,FC,log2FC,absFC,CV,p_value,FDR,lipidClass
Total HexCer 16:1;O2,M,Plasma,0.6626693545255713,-0.5936388920812468,0.6626693545255713,0.18815275588389005,0.01479094755674124,0.08282930631775094,NA
Total HexCer 18:1;O2,M,PLT,1.0537435589552528,0.07552381266988184,1.0537435589552528,0.10085180378733888,0.5197550411803418,0.7366280210653313,NA
Total HexCer 18:1;O2,M,Plasma,0.9480487794918158,-0.07696680356925953,0.9480487794918158,0.2067262596842087,0.7668697289459736,0.8258597080956639,NA
Total HexCer 18:2;O2,M,Plasma,1.0401901380394385,0.05684726503382877,1.0401901380394385,0.1852639775422335,0.6575688869271215,0.767163701414975,NA
Total SM (184),M,PLT,1.1652535390413499,0.2206438945543096,1.1652535390413499,0.06493071700895323,0.09621502192839308,0.4650392726538999,NA
Total SM (184),M,Plasma,0.9887336182243458,-0.016346208313093125,0.9887336182243458,0.09106949366795908,0.9435371846496862,0.9435371846496862,NA
Total SM 16:1;O2,M,PLT,0.8097408286950749,-0.3044678720596321,0.8097408286950749,0.23116780928227815,0.2822609417045854,0.5209030323275682,NA
Total SM 16:1;O2,M,Plasma,0.5978534017067084,-0.7421363271176992,0.5978534017067084,0.21527960138030328,0.011245429639696193,0.07871800747787336,NA
Total SM 17:1;O2,M,PLT,0.8708401959444375,-0.19952009439921858,0.8708401959444375,0.1227044515747705,0.6691577359060572,0.8085655975531524,NA
Total SM 17:1;O2,M,Plasma,0.786475361796223,-0.3465265243782145,0.786475361796223,0.09776039001975417,0.06303829623957853,0.16046111770074534,NA
Total SM 18:1;O2,M,PLT,1.2497262444941488,0.32161210371580395,1.2497262444941488,0.09505745109568786,0.052751239868874505,0.46105279486769213,NA
Total SM 18:1;O2,M,Plasma,1.0678061297081831,0.09464973588525838,1.0678061297081831,0.1544574677505035,0.5427703250965398,0.6824972774785069,NA
Total SM 18:2;O2,M,PLT,1.4045920110360206,0.4901511346226827,1.4045920110360206,0.15020542273317777,0.037256572904255554,0.46105279486769213,NA
Total SM 18:2;O2,M,Plasma,1.1707111444191098,0.22738515617995902,1.1707111444191098,0.12115997215118939,0.16137333199922776,0.2993910593503813,NA
LTotal Hex2Cer 18:1;O2,F,PLT,0.7586436307614454,-0.3985057492595944,0.7586436307614454,0.6463285103223307,0.9749442691146438,0.9749442691146438,LTotal Hex2Cer
LTotal Hex2Cer 18:1;O2,F,Serum,1.7010741250132526,0.7664460084081285,1.7010741250132526,0.19535965845287737,0.003642779122260432,0.007285558244520864,LTotal Hex2Cer
LTotal HexCer 18:1;O2,F,PLT,1.1336335970992821,0.18095442064650302,1.1336335970992821,0.30056709047602526,0.3721088749083905,0.7707969551673804,LTotal HexCer
LTotal HexCer 18:1;O2,F,Serum,0.9922020214569113,-0.011294198387581035,0.9922020214569113,0.3122116067950899,0.8130257852823052,0.8130257852823052,LTotal HexCer
LTotal SM 18:1;O2,F,PLT,0.833042728929871,-0.2635375978148602,0.833042728929871,0.17544286911148388,0.15228341873570705,0.6867890665798149,LTotal SM
LysoGb3,F,PLT,1.6741461316582766,0.7434254623072195,1.6741461316582766,0.496088144421255,0.09315330895596764,0.6867890665798149,LysoGb3 O2
LysoGb3,F,Serum,17.750737839862694,4.149807088844803,17.750737839862694,0.6410688994415974,1.2467817533208997e-4,4.987127013283599e-4,LysoGb3 O2
SPB O2,F,PLT,1.212144641997993,0.27756186204719996,1.212144641997993,0.1943661262876139,0.13447185416300814,0.6867890665798149,Total SPB
SPB O2,F,Plasma,0.7622488715796865,-0.3916659853920506,0.7622488715796865,0.31694601017032964,0.2552893891716654,0.7751026677766797,Total SPB
SPBP O2,F,PLT,1.1299053965908494,0.17620198539908705,1.1299053965908494,0.0927372283764154,0.23524412481316434,0.6867890665798149,Total SPBP
SPBP O2,F,Plasma,0.7833325278689427,-0.3523032273863017,0.7833325278689427,0.1576968293257091,0.01728393334425186,0.16131671121301738,Total SPBP
SPBP O2,F,Serum,0.878917964528368,-0.18619957990689734,0.878917964528368,0.1577564106426959,0.14091800971178467,0.18789067961571287,Total SPBP
Total Cer 16:0;O2,F,PLT,0.9960576752045555,-0.005698813113544906,0.9960576752045555,0.9671065886503316,0.49089225791360463,0.8374044399702667,Total Cer d
Total Cer 16:0;O2,F,Plasma,0.8423767264164759,-0.24746251743561043,0.8423767264164759,0.9092912214356128,0.4813537170128108,0.7928178868446295,Total Cer d
Total Cer 16:1;O2,F,PLT,1.2284663540763536,0.2968583449024253,1.2284663540763536,0.6716948602222182,0.7859736037851377,0.8980230913157479,Total Cer d
Total Cer 16:1;O2,F,Plasma,0.778333932841448,-0.3615388395566032,0.778333932841448,0.6987614231150092,0.42042193576063536,0.7751026677766797,Total Cer d
Total Cer 17:1;O2,F,PLT,1.100752568919955,0.13849021121893976,1.100752568919955,0.40863047478919107,0.7891688290854416,0.8980230913157479,Total Cer d
Total Cer 17:1;O2,F,Plasma,0.8271661161568561,-0.27375100625300347,0.8271661161568561,0.4933272944406274,0.43618883812082854,0.7751026677766797,Total Cer d
Total Cer 18:0;O2,F,PLT,0.9140776563913908,-0.12961135878167993,0.9140776563913908,0.20992516919026902,0.6462171259832835,0.8980230913157479,Total Cer d
Total Cer 18:0;O2,F,Plasma,1.208356698517429,0.27304639110378387,1.208356698517429,1.1155619359149525,0.7109875141248868,0.9048931997953105,Total Cer d
Total Cer 18:1;O2,F,PLT,1.062517333501627,0.08748637701773736,1.062517333501627,0.11542144813832703,0.42010370782124573,0.8122005017877417,Total Cer d
Total Cer 18:1;O2,F,Plasma,0.8652970970174396,-0.20873253230843605,0.8652970970174396,0.3341036795348979,0.4243991223096656,0.7751026677766797,Total Cer d
Total Cer 18:2;O2,F,PLT,1.1131148549466114,0.15460246250271803,1.1131148549466114,0.19461185543798062,0.34476176370461753,0.7690839344179929,Total Cer d
Total Cer 18:2;O2,F,Plasma,0.867411674940795,-0.20521123357955,0.867411674940795,0.29192146192937357,0.44291581015810266,0.7751026677766797,Total Cer d
Total Cer 20:1;O2,F,PLT,1.2098635998154281,0.2748444070352737,1.2098635998154281,0.14979730969600824,0.0570944651141416,0.6867890665798149,Total Cer d
Total Cer 20:1;O2,F,Plasma,0.7706855941614125,-0.3757856708745782,0.7706855941614125,0.7792359506401405,0.26203014251302037,0.7751026677766797,Total Cer d
Total GM3 18:1;O2,F,PLT,1.0277480461485853,0.039486629197470875,1.0277480461485853,0.24870569403643714,0.8355287822121402,0.8980230913157479,Total GM3
Total GM3 18:1;O2,F,Plasma,1.1852232384228838,0.24515881830753172,1.1852232384228838,0.10448676775860495,0.12524055596407827,0.6147074243050424,Total GM3
Total GM3 18:2;O2,F,PLT,1.0114059242537277,0.016362134108230536,1.0114059242537277,0.34488382435502996,0.8360904643284548,0.8980230913157479,Total GM3
Total GM3 18:2;O2,F,Plasma,1.238032312731592,0.30804896948696037,1.238032312731592,0.12736587101669133,0.0770581717791101,0.5394072024537707,Total GM3
Total Gb3 16:1;O2,F,PLT,0.9502235219852098,-0.07366117499253769,0.9502235219852098,0.6957929354598645,0.2794114968396944,0.7366303098501034,Total Gb3
Total Gb3 16:1;O2,F,Plasma,1.2051066228822094,0.26916079583145014,1.2051066228822094,0.24851743723267244,0.2366627423314314,0.7751026677766797,Total Gb3
Total Gb3 18:1;O2,F,PLT,1.3604232476259832,0.44405556489857834,1.3604232476259832,0.8005312022647662,0.4536389936762544,0.822220676038211,Total Gb3
Total Gb3 18:1;O2,F,Plasma,1.426862319853117,0.5128461336588699,1.426862319853117,0.0992353762976257,0.007579545151180695,0.10611363211652973,Total Gb3
Total Gb3 18:2;O2,F,PLT,1.4103265063999222,0.4960292013710166,1.4103265063999222,0.7004495646722484,0.3090397839930972,0.7468461446499848,Total Gb3
Total Gb3 18:2;O2,F,Plasma,1.5212964407164393,0.6053013048575827,1.5212964407164393,0.09944190407653049,0.0018480832093908208,0.05174632986294298,Total Gb3
Total Gb4 16:1;O2,F,Plasma,1.028905926508538,0.04111108178108094,1.028905926508538,0.2189983866250738,0.8141247067675147,0.9566927773286168,Total Gb4
Total Gb4 18:1;O2,F,PLT,1.3168573208212684,0.39709904058719075,1.3168573208212684,0.6493812830474811,0.23227390108227186,0.6867890665798149,Total Gb4
Total Gb4 18:1;O2,F,Plasma,1.0844474556730765,0.11696015234044423,1.0844474556730765,0.1439422710450127,0.4155252971571317,0.7751026677766797,Total Gb4
Total Gb4 18:2;O2,F,PLT,1.2819906538862582,0.35838574429589226,1.2819906538862582,0.5613714641834986,0.23682381606200514,0.6867890665798149,Total Gb4
Total Gb4 18:2;O2,F,Plasma,1.0691003917663808,0.09639733285548688,1.0691003917663808,0.10693677944051713,0.3941335602726189,0.7751026677766797,Total Gb4
Total Hex2Cer 16:1;O2,F,PLT,0.9120877844659443,-0.13275541071783123,0.9120877844659443,0.522051119013737,0.6245989359090252,0.8980230913157479,Total Hex2Cer
Total Hex2Cer 16:1;O2,F,Plasma,0.9384248123364135,-0.09168693556883775,0.9384248123364135,0.45533131440853514,0.6590926808428353,0.8787902411237805,Total Hex2Cer
Total Hex2Cer 18:1;O2,F,PLT,0.9293608906934314,-0.1056891601633351,0.9293608906934314,0.40145384236869686,0.7880410306573006,0.8980230913157479,Total Hex2Cer
Total Hex2Cer 18:1;O2,F,Plasma,0.9973150318641658,-0.003878799774753091,0.9973150318641658,0.02675490079117432,0.899667716438556,0.9566927773286168,Total Hex2Cer
Total Hex2Cer 18:2;O2,F,PLT,0.8930686232714923,-0.16315705879091286,0.8930686232714923,0.35186130648729985,0.7048094963939651,0.8980230913157479,Total Hex2Cer
Total Hex2Cer 18:2;O2,F,Plasma,1.0443795362688821,0.06264609465477677,1.0443795362688821,0.11427315857413982,0.5549063346963228,0.8631876317498355,Total Hex2Cer
Total HexCer 16:1;O2,F,Plasma,1.0057587263908176,0.008284255454113593,1.0057587263908176,0.35403726656543477,0.9468725508904968,0.9566927773286168,Total HexCer
Total HexCer 18:1;O2,F,PLT,1.0695356251630863,0.09698453803369791,1.0695356251630863,0.18583726461482608,0.5704908546240004,0.8980230913157479,Total HexCer
Total HexCer 18:1;O2,F,Plasma,1.034112232831111,0.04839277072251378,1.034112232831111,0.13748421634939706,0.6282147657897279,0.8787902411237805,Total HexCer
Total HexCer 18:2;O2,F,Plasma,1.2695754286616072,0.3443461116638956,1.2695754286616072,0.223730482044435,0.13172301949393767,0.6147074243050424,Total HexCer
Total SM (184),F,PLT,1.0799372721738534,0.11094751632216472,1.0799372721738534,0.11022837432020899,0.22684333585728467,0.6867890665798149,Total SM
Total SM (184),F,Plasma,1.002449336250333,0.003529324772556485,1.002449336250333,0.18198537702757914,0.9566927773286168,0.9566927773286168,Total SM
Total SM 16:1;O2,F,PLT,0.9884378929221842,-0.016777775759488318,0.9884378929221842,0.456941687292943,0.86828441517347,0.8992945728582369,Total SM
Total SM 16:1;O2,F,Plasma,0.9639647303147935,-0.05294773300763844,0.9639647303147935,0.5590978783793287,0.6342781533526223,0.8787902411237805,Total SM
Total SM 17:1;O2,F,PLT,0.9653750594266057,-0.050838539812267394,0.9653750594266057,0.2556197243733422,0.7844143595938663,0.8980230913157479,Total SM
Total SM 17:1;O2,F,Plasma,1.0363283014106794,0.05148111092647642,1.0363283014106794,0.4474122891728682,0.8641810374573156,0.9566927773286168,Total SM
Total SM 18:1;O2,F,PLT,1.0857332141973604,0.11866964841103242,1.0857332141973604,0.05529557554652618,0.11488254385549125,0.6867890665798149,Total SM
Total SM 18:1;O2,F,Plasma,1.009324412893967,0.013389954076887305,1.009324412893967,0.21582578577025602,0.9498030679327988,0.9566927773286168,Total SM
Total SM 18:2;O2,F,PLT,1.1242902990470136,0.16901459687621548,1.1242902990470136,0.07841439450959933,0.14508628818610908,0.6867890665798149,Total SM
Total SM 18:2;O2,F,Plasma,1.1033639560314106,0.14190875733995495,1.1033639560314106,0.17277876188852379,0.3455464598557635,0.7751026677766797,Total SM
