lipidClass,lipidClassBase,Compound,Tissue,FC,log2FC,absFC,CV,p_value,na.rm,FDR,q_value,FDR_BH,lipid_class
Cer O2,Cer,Cer 16:0;O2/24:0,PLT,0.745087655557891,-0.42451793401095195,0.745087655557891,0.8771404243152372,0.10869378830872349,TRUE,0.40559251757309067,0.5003987321568159,0.495242366213188,SL
Cer O2,Cer,Cer 16:0;O2/24:0,Plasma_Serum,0.5328753788015943,-0.9081299191387091,0.5328753788015943,1.084814557989597,0.03287397612671811,TRUE,0.06123541570756769,0.3008119944267996,0.12896713711250948,SL
Cer O2,Cer,Cer 16:1;O2/16:0,PLT,1.0348504838661683,0.04942234089679975,1.0348504838661683,0.3733936390199223,0.8612014296271646,TRUE,0.7888225790794943,0.9510823118982038,0.963179407064182,SL
Cer O2,Cer,Cer 16:1;O2/16:0,Plasma_Serum,0.7937026201048952,-0.33332952689299195,0.7937026201048952,0.5684286599215815,0.21803448840613623,TRUE,0.1798753448392198,0.5184472631425405,0.3788331963291089,SL
Cer O2,Cer,Cer 16:1;O2/18:0,PLT,1.268109776276861,0.3426796404576676,1.268109776276861,0.4899501275180611,0.30404171066969504,TRUE,0.5869776405879562,0.6911679772913641,0.7167198186456389,SL
Cer O2,Cer,Cer 16:1;O2/18:0,Plasma_Serum,0.8250490017042043,-0.2774482877516388,0.8250490017042043,0.48538639444429965,0.3892553255613974,TRUE,0.2642809306159689,0.6281924748573345,0.5565987365504094,SL
Cer O2,Cer,Cer 16:1;O2/20:0,PLT,1.0921764400060359,0.12720594101924682,1.0921764400060359,0.38122624662122806,0.6101225552012315,TRUE,0.7252663933652566,0.867461845492938,0.8855751258290586,SL
Cer O2,Cer,Cer 16:1;O2/20:0,Plasma_Serum,0.733801527968349,-0.4465381862261387,0.733801527968349,0.47299842714524043,0.15834794525158163,TRUE,0.15136096296208099,0.46907880738058577,0.3187794160985788,SL
Cer O2,Cer,Cer 16:1;O2/22:0,PLT,1.1784837119135387,0.23693181891565515,1.1784837119135387,0.659634449920962,0.7404313962686435,TRUE,0.7531058236136595,0.9190885633642487,0.919568024398154,SL
Cer O2,Cer,Cer 16:1;O2/22:0,Plasma_Serum,0.6681237921861812,-0.5818126601119803,0.6681237921861812,0.6226276885811494,0.05263168687270109,TRUE,0.0849669087061902,0.3603028293785569,0.1789477353671837,SL
Cer O2,Cer,Cer 16:1;O2/23:0,PLT,1.0206973651054534,0.029555173187137292,1.0206973651054534,0.6100420324693915,0.8540203794884051,TRUE,0.7888225790794943,0.9510823118982038,0.963179407064182,SL
Cer O2,Cer,Cer 16:1;O2/23:0,Plasma_Serum,0.6364328508562676,-0.6519197894757253,0.6364328508562676,0.82023625253182,0.06188696727564398,TRUE,0.09158057426756357,0.3603028293785569,0.19287669303676494,SL
Cer O2,Cer,Cer 16:1;O2/24:0,PLT,1.1456766536572736,0.19619992717673762,1.1456766536572736,0.7514923508591745,0.9495194618172396,TRUE,0.8068133353384508,0.9601318487093942,0.9851467371149509,SL
Cer O2,Cer,Cer 16:1;O2/24:0,Plasma_Serum,0.6395001667779345,-0.6449833595339016,0.6395001667779345,0.7470669539416421,0.023773448700272266,TRUE,0.04797386720268311,0.2522190192474435,0.10103715697615713,SL
Cer O2,Cer,Cer 16:1;O2/24:1,PLT,1.0904530731925492,0.12492768604550918,1.0904530731925492,0.3853332477497112,0.7309513320775647,TRUE,0.7531058236136595,0.9190885633642487,0.919568024398154,SL
Cer O2,Cer,Cer 16:1;O2/24:1,Plasma_Serum,0.730612395738719,-0.45282186388237877,0.730612395738719,0.4733148790361303,0.18624267875234884,TRUE,0.17021827365681416,0.51677470482803,0.3584945604450276,SL
Cer O2,Cer,Cer 17:1;O2/16:0,PLT,1.1914672385928458,0.2527392827330184,1.1914672385928458,0.2902224784087104,0.17735171297608288,TRUE,0.48921001812051335,0.5565223514632602,0.5973422004895331,SL
Cer O2,Cer,Cer 17:1;O2/16:0,Plasma_Serum,0.9339472466047006,-0.09858703233055856,0.9339472466047006,0.50839672329985,0.576346218194542,TRUE,0.32968164531012634,0.6705168758252117,0.6943383573524798,SL
Cer O2,Cer,Cer 17:1;O2/18:0,PLT,0.9346822721990876,-0.09745206381596697,0.9346822721990876,0.32743380034555597,0.9684031124572126,TRUE,0.8068133353384508,0.9601318487093942,0.9851467371149509,SL
Cer O2,Cer,Cer 17:1;O2/18:0,Plasma_Serum,0.9005621841590624,-0.15110219667865468,0.9005621841590624,0.5888564530251361,0.557833870953604,TRUE,0.32968164531012634,0.6705168758252117,0.6943383573524798,SL
Cer O2,Cer,Cer 17:1;O2/20:0,PLT,0.9704339118356059,-0.0432981285363038,0.9704339118356059,0.2420302757496844,0.9131441131907181,TRUE,0.7888225790794943,0.9601318487093942,0.963179407064182,SL
Cer O2,Cer,Cer 17:1;O2/22:0,PLT,1.0600740648722866,0.08416506600647522,1.0600740648722866,0.45368198802703796,0.9050586592339642,TRUE,0.7888225790794943,0.9601318487093942,0.963179407064182,SL
Cer O2,Cer,Cer 17:1;O2/22:0,Plasma_Serum,0.7047370625620833,-0.504843006588076,0.7047370625620833,0.475455426485683,0.04742883476905481,TRUE,0.0783077635179512,0.3353235244900798,0.16492299362875876,SL
Cer O2,Cer,Cer 17:1;O2/24:0,PLT,0.9671984142012728,-0.04811621571165241,0.9671984142012728,0.4625026279273443,0.615302197816294,TRUE,0.7252663933652566,0.867461845492938,0.8855751258290586,SL
