lipidClass,Gender,lipidClassBase,Tissue,FC,log2FC,absFC,CV,p_value,FDR
Total Cer d,F,Cer,PLT,1.0413240618875288,0.05841910775704272,1.0413240618875288,0.15541928852481396,0.6523226253854649,0.8499303956931809
Total Cer d,F,Cer,Plasma,0.8620789393381236,-0.21410811399837004,0.8620789393381236,0.368013870513667,0.42367620467935574,0.9972228328905128
Total GM3,F,GSL,PLT,1.026999344705615,0.03843526112031324,1.026999344705615,0.2528734936472085,0.8400483305997222,0.9546003756815026
Total GM3,F,GSL,Plasma,1.1942547739892146,0.25611064394068284,1.1942547739892146,0.10656276450086012,0.11096935308782716,0.7750974307111901
Total Gb3,F,GSL,PLT,1.3585687926238121,0.44208761985833933,1.3585687926238121,0.7971545526503917,0.4491498196017151,0.6605144405907575
Total Gb3,F,GSL,Plasma,1.4403812707704307,0.5264507454473485,1.4403812707704307,0.09217873093090892,0.005173979703376681,0.11900153317766367
Total Gb4,F,Gb4,PLT,1.3153262609479954,0.39542069812590697,1.3153262609479954,0.6455989219552963,0.232670805647077,0.42007879430922207
Total Gb4,F,Gb4,Plasma,1.081745342181259,0.11336090876399546,1.081745342181259,0.1346226518598385,0.40906978997041843,0.9972228328905128
Total Hex2Cer,F,GSL,PLT,0.9276233893447875,-0.1083888979453607,0.9276233893447875,0.3985499518151436,0.7732832994328028,0.9205753564676225
Total Hex2Cer,F,GSL,Plasma,0.9994517230899836,-7.91213300932246e-4,0.9994517230899836,0.03568668179807377,0.8784200183162696,0.9972228328905128
Total HexCer,F,GSL,PLT,1.0695356251630863,0.09698453803369791,1.0695356251630863,0.18583726461482608,0.5704908546240004,0.7923484092000005
Total HexCer,F,GSL,Plasma,1.0381064548178895,0.05395439549048732,1.0381064548178895,0.13802500121553907,0.6095877898689888,0.9972228328905128
Total SM,F,SM,PLT,1.0824142167941846,0.11425269339583399,1.0824142167941846,0.07291269285858143,0.1578328171340715,0.42007879430922207
Total SM,F,SM,Plasma,1.0262693065167492,0.03740936271340939,1.0262693065167492,0.23963620095763805,0.9656642703433854,0.9972228328905128
Total SM,F,SM_sum,PLT,1.0799372721738534,0.11094751632216472,1.0799372721738534,0.11022837432020899,0.22684333585728467,0.42007879430922207
Total SM,F,SM_sum,Plasma,1.002449336250333,0.003529324772556485,1.002449336250333,0.18198537702757914,0.9566927773286168,0.9972228328905128
Total SPB,F,SPB,PLT,1.212144641997993,0.27756186204719996,1.212144641997993,0.1943661262876139,0.13447185416300814,0.42007879430922207
Total SPB,F,SPB,Plasma,0.7622488715796865,-0.3916659853920506,0.7622488715796865,0.31694601017032964,0.2552893891716654,0.9799305967195658
Total SPBP,F,SPBP,PLT,1.1299053965908494,0.17620198539908705,1.1299053965908494,0.0927372283764154,0.23524412481316434,0.42007879430922207
Total SPBP,F,SPBP,Plasma,0.7833325278689427,-0.3523032273863017,0.7833325278689427,0.1576968293257091,0.01728393334425186,0.1987652334588964
Total SPBP,F,SPBP,Serum,0.878917964528368,-0.18619957990689734,0.878917964528368,0.1577564106426959,0.14091800971178467,0.17614751213973084
