Compound,lipidClassBase,Tissue,FC,log2FC,absFC,CV,p_value,FDR_BH,FDR,lipid_class
Cer 16:0;O2/24:0,Cer,PLT,0.9960576752045555,-0.005698813113544906,0.9960576752045555,0.9671065886503316,0.49089225791360463,0.9847147337402936,0.9847147337402936,SL
Cer 16:0;O2/24:0,Cer,Plasma_Serum,0.8423767264164759,-0.24746251743561043,0.8423767264164759,0.9092912214356128,0.4813537170128108,0.8954670171791659,0.895467017179166,SL
Cer 16:1;O2/16:0,Cer,PLT,1.0127652239966383,0.018299771935603334,1.0127652239966383,0.46367599404650967,0.8808768156968783,0.9847147337402936,0.9847147337402936,SL
Cer 16:1;O2/16:0,Cer,Plasma_Serum,0.8955141107912156,-0.15921192966873357,0.8955141107912156,0.6312454514507179,0.6439554375555304,0.9254626814165104,0.9254626814165104,SL
Cer 16:1;O2/18:0,Cer,PLT,1.0379765769929914,0.05377388816850126,1.0379765769929914,0.4670838795035966,0.8935036022685948,0.9847147337402936,0.9847147337402936,SL
Cer 16:1;O2/18:0,Cer,Plasma_Serum,0.9004539908628777,-0.15127553208142971,0.9004539908628777,0.5689913409148369,0.7450125329713757,0.9783770239820485,0.9783770239820486,SL
Cer 16:1;O2/20:0,Cer,PLT,0.995674786535266,-0.006253497642528967,0.995674786535266,0.4962778298024823,0.9331638430950973,0.9847147337402936,0.9847147337402936,SL
Cer 16:1;O2/20:0,Cer,Plasma_Serum,0.707992009796955,-0.49819501634654184,0.707992009796955,0.5691314703269522,0.3375610446183271,0.8090336013857645,0.8090336013857645,SL
Cer 16:1;O2/22:0,Cer,PLT,1.3632586611370647,0.44705932130336157,1.3632586611370647,0.7700893357370372,0.6634701798522642,0.9847147337402936,0.9847147337402936,SL
Cer 16:1;O2/22:0,Cer,Plasma_Serum,0.7643579937211674,-0.38767959955912634,0.7643579937211674,0.655117621973282,0.44524348489048116,0.8810390199506839,0.8810390199506839,SL
Cer 16:1;O2/23:0,Cer,PLT,1.2056858374727821,0.2698540367862402,1.2056858374727821,0.6876552633596036,0.8278083417780786,0.9847147337402936,0.9847147337402936,SL
Cer 16:1;O2/23:0,Cer,Plasma_Serum,0.7459103763768982,-0.422925798621556,0.7459103763768982,0.8124275929804948,0.4029495897565363,0.8414061341038356,0.8414061341038356,SL
Cer 16:1;O2/24:0,Cer,PLT,1.324660264854718,0.405622399633411,1.324660264854718,0.843883655416175,0.8439843147048409,0.9847147337402936,0.9847147337402936,SL
Cer 16:1;O2/24:0,Cer,Plasma_Serum,0.7947115767328564,-0.33149673425956133,0.7947115767328564,0.8172940523193464,0.36384159729860305,0.8090336013857645,0.8090336013857645,SL
Cer 16:1;O2/24:1,Cer,PLT,1.1193165988017877,0.16261816045955166,1.1193165988017877,0.4817229823037417,0.9429706324406447,0.9847147337402936,0.9847147337402936,SL
Cer 16:1;O2/24:1,Cer,Plasma_Serum,0.7769673132265412,-0.36407418870984526,0.7769673132265412,0.5290613397680696,0.5428870660777785,0.8954670171791659,0.895467017179166,SL
Cer 17:1;O2/16:0,Cer,PLT,1.0728657320485804,0.1014695357139039,1.0728657320485804,0.38036474366109685,0.8097744857007012,0.9847147337402936,0.9847147337402936,SL
Cer 17:1;O2/16:0,Cer,Plasma_Serum,0.8816316702660437,-0.1817520450764091,0.8816316702660437,0.5933849404692328,0.5865437592633648,0.8954670171791659,0.895467017179166,SL
Cer 17:1;O2/18:0,Cer,PLT,0.8618236793697912,-0.2145353565689719,0.8618236793697912,0.16720707474849378,0.37914382490836007,0.9847147337402936,0.9847147337402936,SL
Cer 17:1;O2/18:0,Cer,Plasma_Serum,0.8991973515261189,-0.15329030860094459,0.8991973515261189,0.7574940924484114,0.5467757837011364,0.8954670171791659,0.895467017179166,SL
Cer 17:1;O2/20:0,Cer,PLT,0.9741811499234189,-0.03773802710122916,0.9741811499234189,0.21996835443532525,0.9650829718205218,0.9847147337402936,0.9847147337402936,SL
Cer 17:1;O2/22:0,Cer,PLT,1.1933731781817776,0.25504525688479623,1.1933731781817776,0.5100638859366069,0.6218157001906957,0.9847147337402936,0.9847147337402936,SL
Cer 17:1;O2/22:0,Cer,Plasma_Serum,0.7729828649270831,-0.3714916612789187,0.7729828649270831,0.4768013056744635,0.2613327225876849,0.7198738873638011,0.7198738873638011,SL
Cer 17:1;O2/24:0,Cer,PLT,1.106028929588137,0.14538912158301678,1.106028929588137,0.4890268913285516,0.86110742979811,0.9847147337402936,0.9847147337402936,SL
Cer 17:1;O2/24:1,Cer,PLT,1.0663499105123035,0.09268091964239963,1.0663499105123035,0.3151134120157551,0.8033369258686391,0.9847147337402936,0.9847147337402936,SL
Cer 17:1;O2/24:1,Cer,Plasma_Serum,0.8485003976512515,-0.23701275899761562,0.8485003976512515,0.4858543882114339,0.5450757090097424,0.8954670171791659,0.895467017179166,SL
Cer 17:1;O2/26:0,Cer,PLT,0.9905674221691677,-0.0136729205613539,0.9905674221691677,0.4751539988582468,0.8400784340086275,0.9847147337402936,0.9847147337402936,SL
Cer 17:1;O2/26:0,Cer,Plasma_Serum,0.9340972772600047,-0.09835529429638572,0.9340972772600047,0.5461898298784501,0.7586823716125022,0.9783770239820485,0.9783770239820486,SL
