Sample,,,,,,,13C2D2_S1P [113] Results,,,13C2D2_S1P [60] Results,,,LPC Results,,,S1P d16:1 [113] Results,,,S1P d16:1 [60] Results,,,S1P d17:1 [113] Results,,,S1P d17:1 [60] Results,,,S1P d18:0 [113] Results,,,S1P d18:0 [60] Results,,,S1P d18:1 [113] Results,,,S1P d18:1 [60] Results,,,S1P d18:2 [113] Results,,,S1P d18:2 [60] Results,,,S1P d19:1 [113] Results,,,S1P d19:1 [60] Results,,,S1P d20:1 [113] Results,,,S1P d20:1 [60] Results,,
,,Name,Data File,Type,Level,Acq. Date-Time,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT
,!,036_Plasma_S1P-3uL_Sample_F03C,036_Plasma_S1P-3uL_Sample_F03C.d,Sample,,6/3/2017 1:43 AM,21705,0.062,3.462,80807,0.061,3.462,12313857,0.070,3.615,2693,0.060,3.526,7810,0.060,3.526,1485,0.066,3.488,2702,0.062,3.488,10688,0.062,3.441,16152,0.064,3.441,30002,0.061,3.464,97721,0.061,3.464,7567,0.061,3.495,25904,0.061,3.495,509,0.063,3.439,2898,0.062,3.439,230,0.066,3.401,365,0.060,3.409
,!,037_Plasma_S1P-3uL_Sample_F27A,037_Plasma_S1P-3uL_Sample_F27A.d,Sample,,6/3/2017 1:53 AM,35537,0.064,3.470,70368,0.061,3.462,15507341,0.067,3.615,5288,0.060,3.526,18944,0.060,3.526,1917,0.063,3.495,4581,0.061,3.495,14705,0.062,3.441,23035,0.063,3.441,37951,0.061,3.464,116094,0.061,3.464,10381,0.061,3.495,35032,0.061,3.495,573,0.061,3.447,3512,0.063,3.439,110,0.059,3.401,387,0.062,3.409
,!,038_Plasma_S1P-3uL_Sample_F22V,038_Plasma_S1P-3uL_Sample_F22V.d,Sample,,6/3/2017 2:03 AM,23432,0.061,3.470,77869,0.061,3.462,12675904,0.067,3.615,2558,0.061,3.526,7521,0.060,3.526,1637,0.066,3.495,2588,0.062,3.495,10906,0.062,3.441,14370,0.064,3.441,25018,0.061,3.464,81893,0.061,3.464,8533,0.061,3.495,29202,0.060,3.495,430,0.065,3.447,2522,0.061,3.439,143,0.056,3.401,350,0.064,3.409
,!,039_Plasma_S1P-3uL_PQC_10,039_Plasma_S1P-3uL_PQC_10.d,Sample,,6/3/2017 2:13 AM,24703,0.063,3.470,78397,0.061,3.462,15045865,0.069,3.615,4296,0.060,3.526,13408,0.060,3.526,1843,0.065,3.495,4293,0.061,3.495,13741,0.062,3.441,21623,0.062,3.441,31414,0.061,3.464,108844,0.061,3.464,10440,0.061,3.495,32901,0.061,3.495,715,0.062,3.439,3481,0.062,3.439,253,0.062,3.409,491,0.062,3.409
,!,040_Plasma_S1P-3uL_TQC_11,040_Plasma_S1P-3uL_TQC_11.d,Sample,,6/3/2017 2:24 AM,27871,0.062,3.470,81477,0.061,3.462,15215985,0.069,3.615,5134,0.060,3.526,15495,0.059,3.526,2035,0.064,3.495,4699,0.061,3.495,13390,0.061,3.441,22060,0.063,3.441,36661,0.061,3.464,109208,0.061,3.464,10929,0.061,3.495,34228,0.061,3.495,664,0.063,3.439,3599,0.061,3.439,170,0.060,3.409,370,0.061,3.409
!,!,041_Plasma_S1P-3uL_Sample_F20T,041_Plasma_S1P-3uL_Sample_F20T.d,Sample,,6/3/2017 2:34 AM,23277,0.061,3.462,72836,0.061,3.462,16786102,0.069,3.615,5424,0.060,3.526,16799,0.060,3.526,1755,0.064,3.495,4165,0.061,3.495,17771,0.061,3.441,26384,0.062,3.441,35541,0.061,3.464,120174,0.061,3.464,11027,0.060,3.495,33788,0.061,3.495,714,0.065,3.447,3469,0.061,3.439,192,0.062,3.409,405,0.061,3.409
,!,042_Plasma_S1P-3uL_Sample_F26Z,042_Plasma_S1P-3uL_Sample_F26Z.d,Sample,,6/3/2017 2:44 AM,36516,0.063,3.470,77528,0.060,3.462,12068058,0.067,3.615,2112,0.060,3.526,7369,0.060,3.526,1265,0.064,3.495,2560,0.061,3.495,8685,0.062,3.441,13279,0.063,3.441,26532,0.061,3.464,77211,0.061,3.464,7384,0.061,3.495,25415,0.061,3.495,602,0.065,3.439,2356,0.061,3.439,168,0.064,3.401,286,0.064,3.409
,!,043_Plasma_S1P-3uL_Sample_F14N,043_Plasma_S1P-3uL_Sample_F14N.d,Sample,,6/3/2017 2:54 AM,36336,0.064,3.470,75253,0.061,3.462,14701180,0.070,3.615,5927,0.060,3.526,21761,0.060,3.526,2069,0.064,3.495,4766,0.061,3.495,10864,0.062,3.441,16528,0.063,3.441,29184,0.061,3.464,99982,0.060,3.464,8941,0.061,3.495,31345,0.061,3.495,680,0.063,3.439,3908,0.063,3.439,118,0.054,3.416,333,0.062,3.409
!,!,044_Plasma_S1P-3uL_Sample_F13M,044_Plasma_S1P-3uL_Sample_F13M.d,Sample,,6/3/2017 3:04 AM,20771,0.062,3.462,74643,0.061,3.462,17700866,0.068,3.615,2912,0.060,3.526,9495,0.060,3.526,1527,0.064,3.495,2664,0.061,3.495,15339,0.061,3.441,20206,0.063,3.441,30551,0.061,3.464,98028,0.062,3.464,10104,0.061,3.495,35356,0.061,3.495,429,0.070,3.439,2530,0.061,3.439,154,0.058,3.401,374,0.065,3.409
,!,045_Plasma_S1P-3uL_PQC_11,045_Plasma_S1P-3uL_PQC_11.d,Sample,,6/3/2017 3:15 AM,25978,0.063,3.470,84098,0.061,3.462,16174492,0.069,3.615,4547,0.060,3.526,15686,0.060,3.526,1953,0.064,3.495,4754,0.061,3.495,14320,0.062,3.441,21892,0.063,3.441,35444,0.061,3.464,111449,0.061,3.464,11422,0.060,3.495,34485,0.061,3.495,759,0.063,3.439,3866,0.062,3.439,309,0.064,3.416,344,0.060,3.409
,!,046_Plasma_S1P-3uL_PQC_12,046_Plasma_S1P-3uL_PQC_12.d,Sample,,6/3/2017 3:25 AM,27357,0.062,3.470,77494,0.061,3.470,15888360,0.068,3.615,4733,0.059,3.526,15424,0.060,3.526,1967,0.065,3.495,4341,0.061,3.495,13636,0.061,3.441,18867,0.063,3.441,32203,0.061,3.464,110266,0.061,3.464,11107,0.061,3.495,32640,0.061,3.495,671,0.063,3.447,3314,0.063,3.439,123,0.056,3.409,510,0.062,3.409
,!,047_Plasma_S1P-3uL_TQC_12,047_Plasma_S1P-3uL_TQC_12.d,Sample,,6/3/2017 3:35 AM,29456,0.062,3.470,82717,0.061,3.462,15674693,0.069,3.615,4639,0.060,3.526,15317,0.060,3.526,2029,0.065,3.495,4463,0.061,3.495,15489,0.061,3.441,20612,0.063,3.441,36220,0.061,3.464,113244,0.061,3.464,10896,0.061,3.495,36151,0.061,3.495,789,0.065,3.439,3512,0.062,3.439,264,0.064,3.409,459,0.064,3.409
,!,048_ISTDinBuMe_S1P-3uL_BLANK_1,048_ISTDinBuMe_S1P-3uL_BLANK_1.d,Sample,,6/3/2017 3:45 AM,22398,0.061,3.462,79294,0.061,3.470,92310,0.068,3.608,49,0.067,3.748,50,0.118,3.526,46,0.070,3.473,116,0.111,3.503,162,0.102,3.478,165,0.071,3.471,179,0.069,3.464,402,0.066,3.464,144,0.060,3.502,392,0.185,3.487,35,0.098,3.462,23,0.055,3.439,49,0.047,3.446,42,0.149,3.483
!,!,049_ISTDinBuMe_S1P-3uL_BLANK_2,049_ISTDinBuMe_S1P-3uL_BLANK_2.d,Sample,,6/3/2017 3:55 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!,!,050_ISTDinBuMe_S1P-3uL_BLANK_3,050_ISTDinBuMe_S1P-3uL_BLANK_3.d,Sample,,6/3/2017 3:56 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!,!,051_Plasma_S1P-3uL_TQC1to8_1,051_Plasma_S1P-3uL_TQC1to8_1.d,Sample,,6/3/2017 3:57 AM,4277,0.062,3.470,11380,0.061,3.470,4707538,0.068,3.615,681,0.063,3.533,2030,0.061,3.526,335,0.069,3.503,758,0.063,3.495,2235,0.062,3.448,3231,0.063,3.448,5846,0.061,3.472,17935,0.061,3.472,1358,0.062,3.502,4947,0.061,3.502,217,0.078,3.454,562,0.062,3.447,152,0.165,3.461,242,0.201,3.416
!,!,052_Plasma_S1P-3uL_TQC1to4_1,052_Plasma_S1P-3uL_TQC1to4_1.d,Sample,,6/3/2017 4:07 AM,9272,0.061,3.470,25008,0.061,3.462,8971828,0.068,3.613,1286,0.062,3.526,4567,0.060,3.526,408,0.059,3.488,1491,0.062,3.495,4840,0.062,3.441,6992,0.063,3.441,10899,0.061,3.464,34735,0.061,3.464,3272,0.061,3.495,10768,0.061,3.495,329,0.065,3.439,1342,0.062,3.439,99,0.071,3.416,182,0.070,3.409
,!,053_Plasma_S1P-3uL_TQC1to2_1,053_Plasma_S1P-3uL_TQC1to2_1.d,Sample,,6/3/2017 4:17 AM,15416,0.062,3.470,44328,0.060,3.462,12021713,0.068,3.615,2768,0.061,3.526,9134,0.060,3.526,1201,0.066,3.495,2513,0.061,3.495,8057,0.062,3.441,12776,0.063,3.441,19125,0.061,3.464,63893,0.061,3.464,5860,0.061,3.495,21463,0.061,3.495,528,0.064,3.447,2292,0.063,3.439,156,0.067,3.409,237,0.062,3.409
,!,054_Plasma_S1P-3uL_TQC1to1_1,054_Plasma_S1P-3uL_TQC1to1_1.d,Sample,,6/3/2017 4:27 AM,27447,0.062,3.470,78768,0.061,3.462,15383312,0.068,3.615,5276,0.060,3.526,15849,0.060,3.526,1987,0.064,3.495,4801,0.061,3.495,13502,0.062,3.441,20735,0.063,3.441,33342,0.061,3.464,119443,0.061,3.464,10853,0.061,3.495,38035,0.061,3.495,774,0.063,3.439,3903,0.062,3.439,119,0.057,3.401,428,0.063,3.409
,!,055_Serum_S1P-3uL_TQC_01,055_Serum_S1P-3uL_TQC_01.d,Sample,,6/3/2017 4:37 AM,17055,0.061,3.462,59140,0.061,3.462,16194321,0.068,3.615,3323,0.059,3.526,10797,0.060,3.526,1243,0.061,3.488,3436,0.061,3.495,11024,0.062,3.441,16902,0.062,3.441,26809,0.061,3.464,89399,0.061,3.464,7680,0.061,3.495,26425,0.060,3.495,531,0.061,3.439,3266,0.062,3.439,147,0.060,3.409,352,0.061,3.409
,!,056_Serum_S1P-3uL_TQC_02,056_Serum_S1P-3uL_TQC_02.d,Sample,,6/3/2017 4:48 AM,15969,0.062,3.462,58469,0.061,3.462,15155102,0.070,3.615,3257,0.060,3.526,12027,0.059,3.526,1142,0.060,3.495,3196,0.061,3.495,10784,0.061,3.441,16582,0.064,3.441,25740,0.061,3.464,86938,0.061,3.464,7802,0.061,3.495,27223,0.061,3.495,630,0.063,3.439,2793,0.062,3.439,166,0.062,3.416,327,0.061,3.409
,!,057_Serum_S1P-3uL_TQC_03,057_Serum_S1P-3uL_TQC_03.d,Sample,,6/3/2017 4:58 AM,16901,0.061,3.462,55690,0.061,3.462,15958643,0.069,3.615,3331,0.059,3.526,11007,0.060,3.526,1223,0.061,3.488,3355,0.061,3.495,11022,0.062,3.441,17553,0.063,3.441,25698,0.061,3.464,85568,0.061,3.464,7547,0.061,3.495,26506,0.061,3.495,589,0.065,3.439,3145,0.062,3.439,135,0.060,3.416,271,0.062,3.409
,!,058_Serum_S1P-3uL_TQC_04,058_Serum_S1P-3uL_TQC_04.d,Sample,,6/3/2017 5:08 AM,16750,0.061,3.462,54925,0.061,3.462,16108362,0.068,3.615,3799,0.060,3.526,10955,0.060,3.526,1278,0.062,3.495,3317,0.061,3.495,11120,0.062,3.441,16355,0.063,3.441,26309,0.061,3.464,93646,0.061,3.464,7645,0.062,3.495,25288,0.061,3.495,645,0.064,3.439,2853,0.062,3.439,199,0.065,3.409,302,0.062,3.409
,!,059_Serum_S1P-3uL_TQC_05,059_Serum_S1P-3uL_TQC_05.d,Sample,,6/3/2017 5:18 AM,16227,0.061,3.462,56001,0.061,3.462,16066383,0.068,3.615,3569,0.059,3.526,10747,0.060,3.526,1366,0.063,3.495,3138,0.060,3.495,11505,0.062,3.441,16760,0.062,3.441,26708,0.061,3.464,86125,0.061,3.464,7777,0.061,3.495,25752,0.061,3.495,534,0.065,3.439,3071,0.062,3.439,176,0.059,3.409,347,0.061,3.409
,!,060_Serum_S1P-3uL_PQC_01,060_Serum_S1P-3uL_PQC_01.d,Sample,,6/3/2017 5:28 AM,17485,0.061,3.462,57667,0.061,3.462,15419882,0.069,3.615,3138,0.060,3.526,10383,0.060,3.526,995,0.061,3.488,3124,0.061,3.495,9888,0.062,3.441,15147,0.063,3.441,24658,0.062,3.464,85993,0.061,3.464,7857,0.061,3.495,24633,0.061,3.495,646,0.064,3.439,2825,0.063,3.439,163,0.068,3.409,252,0.061,3.409
,!,061_Serum_S1P-3uL_PQC_02,061_Serum_S1P-3uL_PQC_02.d,Sample,,6/3/2017 5:38 AM,17671,0.061,3.462,56047,0.061,3.462,15762456,0.068,3.615,3127,0.060,3.526,11047,0.060,3.526,1374,0.062,3.495,3085,0.061,3.495,11549,0.061,3.441,17935,0.063,3.441,27277,0.061,3.464,89286,0.061,3.464,7876,0.061,3.495,25197,0.061,3.495,474,0.061,3.447,3289,0.062,3.439,88,0.054,3.409,346,0.063,3.409
,!,062_Serum_S1P-3uL_PQC_03,062_Serum_S1P-3uL_PQC_03.d,Sample,,6/3/2017 5:49 AM,17390,0.061,3.462,62598,0.061,3.462,15832239,0.069,3.615,3537,0.060,3.526,11607,0.060,3.526,1291,0.063,3.495,3400,0.061,3.495,12440,0.062,3.441,18043,0.063,3.441,30474,0.061,3.464,92873,0.061,3.464,8919,0.060,3.495,30248,0.060,3.495,743,0.063,3.439,3336,0.061,3.439,154,0.063,3.409,325,0.061,3.409
,!,063_Serum_S1P-3uL_Sample_F16P,063_Serum_S1P-3uL_Sample_F16P.d,Sample,,6/3/2017 5:59 AM,15291,0.062,3.462,58660,0.061,3.462,15373281,0.070,3.615,3165,0.059,3.526,9300,0.060,3.526,1266,0.062,3.495,3066,0.062,3.495,12792,0.062,3.434,18975,0.063,3.441,29731,0.061,3.464,108868,0.061,3.464,10270,0.061,3.495,31580,0.061,3.495,791,0.066,3.439,3604,0.062,3.439,172,0.064,3.409,288,0.056,3.409
,!,064_Serum_S1P-3uL_Sample_F21U,064_Serum_S1P-3uL_Sample_F21U.d,Sample,,6/3/2017 6:09 AM,16648,0.061,3.462,57426,0.060,3.462,16472069,0.069,3.615,3754,0.060,3.526,13293,0.060,3.518,1138,0.060,3.495,3085,0.061,3.495,8089,0.062,3.441,11816,0.063,3.441,20739,0.061,3.464,70792,0.061,3.464,7324,0.061,3.495,22006,0.061,3.495,474,0.065,3.439,2559,0.062,3.439,83,0.059,3.416,266,0.063,3.409
,!,065_Serum_S1P-3uL_Sample_F09I,065_Serum_S1P-3uL_Sample_F09I.d,Sample,,6/3/2017 6:19 AM,16938,0.061,3.462,54581,0.061,3.462,15941921,0.068,3.615,3437,0.060,3.518,11231,0.060,3.518,1306,0.062,3.495,3641,0.061,3.495,11418,0.062,3.441,19055,0.063,3.441,29690,0.061,3.464,96660,0.061,3.464,9258,0.061,3.495,27527,0.061,3.495,624,0.065,3.439,3214,0.062,3.439,235,0.067,3.409,335,0.062,3.409
,!,066_Serum_S1P-3uL_Sample_F23W,066_Serum_S1P-3uL_Sample_F23W.d,Sample,,6/3/2017 6:30 AM,15185,0.061,3.462,56504,0.061,3.462,15460063,0.070,3.615,2808,0.059,3.526,9061,0.060,3.526,1147,0.062,3.495,3300,0.061,3.495,10899,0.062,3.441,16477,0.063,3.441,26200,0.061,3.464,90039,0.061,3.464,7555,0.061,3.495,24925,0.061,3.495,827,0.065,3.439,3014,0.062,3.439,220,0.074,3.416,291,0.062,3.409
,!,067_Serum_S1P-3uL_Sample_F06F,067_Serum_S1P-3uL_Sample_F06F.d,Sample,,6/3/2017 6:40 AM,15969,0.061,3.462,52781,0.061,3.462,15558738,0.070,3.615,3354,0.060,3.526,9994,0.060,3.526,1418,0.062,3.488,3563,0.061,3.495,11948,0.062,3.441,17557,0.063,3.441,29900,0.061,3.464,97741,0.061,3.464,8160,0.061,3.495,25036,0.061,3.495,795,0.064,3.439,3888,0.062,3.439,138,0.057,3.409,369,0.063,3.409
,!,068_Serum_S1P-3uL_PQC_04,068_Serum_S1P-3uL_PQC_04.d,Sample,,6/3/2017 6:50 AM,16593,0.061,3.462,58902,0.061,3.462,15907809,0.070,3.615,3681,0.060,3.526,12533,0.060,3.518,1487,0.062,3.495,3270,0.061,3.495,11689,0.061,3.441,17921,0.063,3.441,27517,0.061,3.464,90799,0.061,3.464,8770,0.061,3.495,26015,0.061,3.495,594,0.063,3.439,3061,0.062,3.439,121,0.057,3.409,396,0.061,3.409
,!,069_Serum_S1P-3uL_TQC_06,069_Serum_S1P-3uL_TQC_06.d,Sample,,6/3/2017 7:00 AM,15910,0.061,3.462,56469,0.061,3.462,15926985,0.069,3.615,3145,0.059,3.518,10996,0.060,3.526,1350,0.063,3.495,3633,0.061,3.488,11551,0.061,3.441,16600,0.063,3.441,26777,0.061,3.464,90267,0.061,3.464,8232,0.061,3.495,27247,0.061,3.495,678,0.064,3.439,2770,0.063,3.439,179,0.062,3.409,319,0.060,3.409
,!,070_Serum_S1P-3uL_Sample_F15O,070_Serum_S1P-3uL_Sample_F15O.d,Sample,,6/3/2017 7:10 AM,16452,0.061,3.462,59123,0.061,3.462,17985936,0.068,3.615,4495,0.060,3.526,15820,0.060,3.526,1374,0.062,3.495,3665,0.061,3.495,10074,0.062,3.441,15366,0.063,3.441,24277,0.061,3.464,85696,0.061,3.464,8111,0.062,3.495,24656,0.061,3.495,711,0.065,3.439,3281,0.062,3.439,135,0.079,3.424,328,0.063,3.409
,!,071_Serum_S1P-3uL_Sample_F10J,071_Serum_S1P-3uL_Sample_F10J.d,Sample,,6/3/2017 7:20 AM,16251,0.062,3.462,58476,0.061,3.462,15987296,0.066,3.615,2444,0.059,3.526,8746,0.060,3.526,1207,0.062,3.495,2922,0.061,3.495,10661,0.062,3.441,14426,0.063,3.441,25818,0.061,3.464,85592,0.061,3.464,7455,0.061,3.495,25695,0.061,3.495,435,0.065,3.439,2414,0.063,3.439,146,0.055,3.401,368,0.061,3.409
,!,072_Serum_S1P-3uL_Sample_F02B,072_Serum_S1P-3uL_Sample_F02B.d,Sample,,6/3/2017 7:31 AM,15734,0.061,3.462,54747,0.061,3.462,13820704,0.069,3.615,3004,0.060,3.526,9734,0.060,3.526,1330,0.063,3.495,3124,0.061,3.488,13249,0.062,3.434,17883,0.063,3.441,27520,0.060,3.464,93129,0.061,3.464,8764,0.061,3.495,27382,0.061,3.495,519,0.063,3.439,2851,0.062,3.439,124,0.063,3.409,383,0.062,3.409
,!,073_Serum_S1P-3uL_PQC_05,073_Serum_S1P-3uL_PQC_05.d,Sample,,6/3/2017 7:41 AM,16744,0.061,3.462,59524,0.061,3.462,16221669,0.069,3.615,3332,0.060,3.526,11352,0.060,3.526,1226,0.060,3.495,3291,0.061,3.495,11718,0.061,3.441,16557,0.063,3.441,26308,0.061,3.464,87561,0.061,3.464,7621,0.061,3.495,28256,0.060,3.495,723,0.065,3.439,3112,0.062,3.439,146,0.060,3.409,302,0.060,3.409
,!,074_Serum_S1P-3uL_TQC_07,074_Serum_S1P-3uL_TQC_07.d,Sample,,6/3/2017 7:51 AM,16560,0.061,3.462,57534,0.061,3.462,15523727,0.070,3.615,3161,0.060,3.526,10762,0.060,3.518,1381,0.063,3.495,3228,0.061,3.488,11100,0.062,3.441,16730,0.063,3.441,24897,0.061,3.464,88140,0.061,3.464,7829,0.060,3.495,25270,0.061,3.495,664,0.065,3.447,2912,0.063,3.439,111,0.055,3.409,351,0.063,3.409
,!,075_Serum_S1P-3uL_Sample_F17Q,075_Serum_S1P-3uL_Sample_F17Q.d,Sample,,6/3/2017 8:01 AM,17659,0.061,3.462,57170,0.061,3.462,15229989,0.070,3.615,4146,0.060,3.526,12664,0.060,3.518,1360,0.062,3.488,3794,0.061,3.488,15410,0.062,3.441,20829,0.063,3.441,33205,0.061,3.464,104263,0.061,3.464,12443,0.061,3.495,41326,0.061,3.495,675,0.065,3.447,3335,0.062,3.439,181,0.057,3.401,455,0.063,3.409
,!,076_Serum_S1P-3uL_Sample_F04D,076_Serum_S1P-3uL_Sample_F04D.d,Sample,,6/3/2017 8:12 AM,15553,0.061,3.462,51543,0.061,3.462,16356595,0.069,3.615,3295,0.060,3.526,9842,0.060,3.526,1429,0.062,3.495,3461,0.061,3.495,12511,0.062,3.441,18859,0.063,3.441,29303,0.061,3.464,97445,0.061,3.464,8128,0.061,3.495,27019,0.061,3.495,752,0.064,3.439,3062,0.062,3.439,150,0.061,3.401,458,0.061,3.409
,!,077_Serum_S1P-3uL_Sample_F05E,077_Serum_S1P-3uL_Sample_F05E.d,Sample,,6/3/2017 8:22 AM,17764,0.061,3.462,61373,0.061,3.462,14971182,0.069,3.615,3023,0.060,3.526,11043,0.060,3.526,1411,0.062,3.495,3296,0.061,3.495,10381,0.062,3.441,16186,0.063,3.441,26429,0.061,3.464,83821,0.061,3.464,7505,0.061,3.495,22938,0.061,3.495,552,0.062,3.439,2945,0.061,3.439,113,0.056,3.409,307,0.065,3.409
,!,078_Serum_S1P-3uL_Sample_F08H,078_Serum_S1P-3uL_Sample_F08H.d,Sample,,6/3/2017 8:32 AM,16282,0.061,3.462,59153,0.061,3.462,15416247,0.069,3.615,4631,0.060,3.526,13274,0.060,3.526,1406,0.061,3.495,3482,0.061,3.495,12337,0.061,3.441,17456,0.063,3.441,26992,0.061,3.464,83803,0.061,3.464,7938,0.061,3.495,26462,0.061,3.495,682,0.063,3.439,2908,0.061,3.439,115,0.056,3.409,468,0.064,3.409
,!,079_Serum_S1P-3uL_Sample_F18R,079_Serum_S1P-3uL_Sample_F18R.d,Sample,,6/3/2017 8:42 AM,16393,0.061,3.462,54343,0.061,3.462,16925328,0.069,3.615,4415,0.059,3.518,14403,0.060,3.518,1953,0.061,3.488,4847,0.061,3.488,12763,0.062,3.434,18007,0.064,3.441,31543,0.061,3.464,98650,0.061,3.464,8764,0.061,3.495,27791,0.061,3.495,911,0.064,3.439,4091,0.062,3.439,135,0.058,3.401,283,0.060,3.409
,!,080_Serum_S1P-3uL_PQC_06,080_Serum_S1P-3uL_PQC_06.d,Sample,,6/3/2017 8:52 AM,15845,0.061,3.462,57422,0.061,3.462,15125129,0.068,3.615,3447,0.060,3.526,11376,0.060,3.526,1252,0.061,3.488,3274,0.061,3.495,11090,0.062,3.441,16834,0.063,3.441,29721,0.060,3.464,96179,0.061,3.464,8347,0.061,3.495,27149,0.060,3.495,552,0.063,3.447,3005,0.062,3.439,126,0.060,3.409,326,0.061,3.409
,!,081_Serum_S1P-3uL_TQC_08,081_Serum_S1P-3uL_TQC_08.d,Sample,,6/3/2017 9:03 AM,17059,0.061,3.462,55446,0.061,3.462,16186449,0.069,3.615,3526,0.060,3.518,11205,0.060,3.526,1320,0.061,3.495,3284,0.061,3.495,10857,0.062,3.434,16594,0.063,3.441,27549,0.061,3.464,86323,0.061,3.464,8059,0.061,3.495,25419,0.061,3.495,567,0.062,3.439,3127,0.062,3.439,163,0.059,3.401,290,0.056,3.409
,!,082_Serum_S1P-3uL_Sample_F28B,082_Serum_S1P-3uL_Sample_F28B.d,Sample,,6/3/2017 9:13 AM,17595,0.061,3.462,61920,0.061,3.462,16154175,0.072,3.615,4767,0.060,3.518,16866,0.060,3.518,1754,0.061,3.488,4635,0.061,3.495,15288,0.062,3.434,20846,0.063,3.441,33401,0.061,3.464,105295,0.061,3.464,9155,0.061,3.495,28267,0.061,3.495,731,0.063,3.439,3757,0.062,3.439,111,0.052,3.416,391,0.063,3.409
,!,083_Serum_S1P-3uL_Sample_F12L,083_Serum_S1P-3uL_Sample_F12L.d,Sample,,6/3/2017 9:23 AM,14030,0.061,3.462,50098,0.061,3.462,17589368,0.070,3.615,4428,0.059,3.526,15336,0.060,3.526,1314,0.061,3.495,4247,0.061,3.495,12144,0.061,3.434,16877,0.063,3.441,25364,0.061,3.464,78157,0.061,3.464,7016,0.061,3.495,23300,0.061,3.495,701,0.062,3.439,3955,0.061,3.439,134,0.060,3.409,309,0.060,3.409
,!,084_Serum_S1P-3uL_Sample_F11K,084_Serum_S1P-3uL_Sample_F11K.d,Sample,,6/3/2017 9:33 AM,16821,0.061,3.462,57880,0.061,3.462,15846528,0.069,3.615,3992,0.060,3.518,12527,0.060,3.526,1318,0.063,3.495,3411,0.061,3.495,10565,0.061,3.441,14107,0.063,3.441,21318,0.061,3.464,73004,0.061,3.464,8484,0.061,3.495,28773,0.061,3.495,735,0.067,3.447,3085,0.062,3.439,128,0.061,3.416,378,0.065,3.409
,!,085_Serum_S1P-3uL_PQC_07,085_Serum_S1P-3uL_PQC_07.d,Sample,,6/3/2017 9:43 AM,15371,0.061,3.462,60201,0.061,3.462,16254107,0.069,3.615,3609,0.060,3.518,11196,0.060,3.518,1370,0.061,3.495,3491,0.061,3.495,11855,0.061,3.434,17633,0.063,3.441,27053,0.061,3.464,85159,0.061,3.464,7669,0.061,3.495,26550,0.061,3.495,672,0.066,3.439,3488,0.062,3.432,145,0.061,3.416,343,0.059,3.409
,!,086_Serum_S1P-3uL_TQC_09,086_Serum_S1P-3uL_TQC_09.d,Sample,,6/3/2017 9:54 AM,16503,0.061,3.462,61679,0.061,3.462,15433901,0.070,3.615,3479,0.059,3.518,10919,0.060,3.518,1338,0.063,3.488,3237,0.061,3.488,11058,0.062,3.434,16936,0.063,3.441,28320,0.061,3.464,84016,0.062,3.464,8050,0.061,3.495,26568,0.061,3.495,625,0.062,3.439,2852,0.063,3.439,205,0.067,3.409,297,0.062,3.409
,!,087_Serum_S1P-3uL_PQC_08,087_Serum_S1P-3uL_PQC_08.d,Sample,,6/3/2017 10:04 AM,17125,0.061,3.462,57061,0.061,3.462,15728314,0.070,3.615,3735,0.059,3.518,11768,0.060,3.518,1288,0.062,3.488,3548,0.061,3.488,11468,0.062,3.434,16500,0.064,3.441,26508,0.061,3.464,92013,0.061,3.464,7923,0.061,3.495,27660,0.061,3.495,567,0.062,3.439,3558,0.062,3.439,141,0.061,3.401,339,0.059,3.401
,!,088_Serum_S1P-3uL_Sample_F29C,088_Serum_S1P-3uL_Sample_F29C.d,Sample,,6/3/2017 10:14 AM,15552,0.062,3.462,53804,0.061,3.462,15723026,0.069,3.615,8052,0.059,3.526,25900,0.060,3.518,2095,0.063,3.495,5825,0.061,3.488,17928,0.062,3.434,25895,0.063,3.441,41943,0.061,3.464,151644,0.061,3.464,11026,0.062,3.495,40272,0.061,3.495,1127,0.063,3.439,4713,0.062,3.439,190,0.061,3.401,421,0.061,3.409
,!,089_Serum_S1P-3uL_Sample_F07G,089_Serum_S1P-3uL_Sample_F07G.d,Sample,,6/3/2017 10:24 AM,15960,0.061,3.462,51322,0.061,3.462,14601072,0.069,3.615,1912,0.061,3.518,5930,0.059,3.518,1083,0.061,3.488,2675,0.061,3.488,8004,0.062,3.434,12668,0.063,3.441,24495,0.061,3.464,79148,0.061,3.464,6119,0.061,3.495,20686,0.061,3.495,420,0.066,3.447,2405,0.062,3.432,58,0.053,3.409,212,0.060,3.409
