Sample,,,,,,,13C2D2_S1P [113] Results,,,13C2D2_S1P [60] Results,,,LPC Results,,,S1P d16:1 [113] Results,,,S1P d16:1 [60] Results,,,S1P d17:1 [113] Results,,,S1P d17:1 [60] Results,,,S1P d18:0 [113] Results,,,S1P d18:0 [60] Results,,,S1P d18:1 [113] Results,,,S1P d18:1 [60] Results,,,S1P d18:2 [113] Results,,,S1P d18:2 [60] Results,,,S1P d19:1 [113] Results,,,S1P d19:1 [60] Results,,,S1P d20:1 [113] Results,,,S1P d20:1 [60] Results,,
,,Name,Data File,Type,Level,Acq. Date-Time,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT
,!,006_Plasma_S1P-3uL_Sample_F09I,006_Plasma_S1P-3uL_Sample_F09I.d,Sample,,5/3/2017 8:37 PM,32052,0.063,3.470,74788,0.061,3.462,14686597,0.067,3.615,4373,0.060,3.526,14510,0.060,3.526,2039,0.064,3.495,4698,0.061,3.495,14342,0.062,3.441,23313,0.063,3.441,35915,0.061,3.464,114535,0.061,3.464,13660,0.061,3.495,41461,0.060,3.495,794,0.065,3.439,3464,0.062,3.439,306,0.064,3.409,396,0.059,3.401
,!,007_Plasma_S1P-3uL_Sample_F23W,007_Plasma_S1P-3uL_Sample_F23W.d,Sample,,5/3/2017 8:47 PM,23914,0.062,3.462,79094,0.061,3.462,15291854,0.070,3.623,4674,0.060,3.526,13434,0.060,3.526,2103,0.064,3.488,4366,0.062,3.495,14474,0.062,3.441,22616,0.063,3.441,38829,0.061,3.464,119519,0.061,3.464,10176,0.062,3.495,34456,0.061,3.495,928,0.063,3.439,4436,0.061,3.439,158,0.058,3.409,418,0.062,3.409
,!,008_Plasma_S1P-3uL_Sample_F06F,008_Plasma_S1P-3uL_Sample_F06F.d,Sample,,5/3/2017 8:57 PM,23004,0.061,3.462,72858,0.061,3.462,14370572,0.069,3.615,4285,0.060,3.526,13083,0.060,3.526,2042,0.063,3.495,4427,0.061,3.495,13056,0.062,3.441,22290,0.063,3.441,34632,0.061,3.464,117386,0.061,3.464,9710,0.061,3.495,35583,0.061,3.495,1012,0.064,3.439,4599,0.061,3.439,119,0.056,3.409,362,0.060,3.409
,!,009_Plasma_S1P-3uL_PQC_04,009_Plasma_S1P-3uL_PQC_04.d,Sample,,5/3/2017 9:08 PM,26403,0.062,3.470,80279,0.061,3.462,14821121,0.069,3.615,5014,0.060,3.526,15371,0.060,3.526,2137,0.064,3.495,4493,0.061,3.495,14772,0.062,3.441,22460,0.063,3.441,34320,0.061,3.464,104337,0.061,3.464,10509,0.062,3.495,34420,0.061,3.495,810,0.064,3.439,3970,0.063,3.439,217,0.066,3.409,431,0.063,3.409
,!,010_Plasma_S1P-3uL_TQC_06,010_Plasma_S1P-3uL_TQC_06.d,Sample,,5/3/2017 9:18 PM,27675,0.062,3.470,84695,0.061,3.462,15333239,0.069,3.615,4796,0.060,3.526,15141,0.060,3.526,2008,0.066,3.495,4757,0.061,3.495,14017,0.061,3.441,22751,0.063,3.441,35944,0.061,3.464,117118,0.060,3.464,11827,0.061,3.495,35296,0.061,3.495,508,0.059,3.447,3936,0.062,3.439,158,0.055,3.409,298,0.057,3.409
,!,011_Plasma_S1P-3uL_Sample_F15O,011_Plasma_S1P-3uL_Sample_F15O.d,Sample,,5/3/2017 9:28 PM,22684,0.061,3.462,70617,0.061,3.462,16267568,0.069,3.615,5702,0.061,3.526,20151,0.060,3.526,2215,0.065,3.488,5283,0.061,3.495,15370,0.061,3.441,22206,0.063,3.441,34159,0.060,3.464,109312,0.061,3.464,10283,0.061,3.495,34119,0.061,3.495,924,0.065,3.447,4157,0.062,3.439,195,0.063,3.409,283,0.059,3.409
,!,012_Plasma_S1P-3uL_Sample_F10J,012_Plasma_S1P-3uL_Sample_F10J.d,Sample,,5/3/2017 9:38 PM,22056,0.061,3.462,75493,0.061,3.462,14312359,0.069,3.615,3213,0.060,3.526,10392,0.059,3.526,1906,0.065,3.495,3164,0.061,3.495,10179,0.062,3.441,15103,0.064,3.441,30350,0.061,3.464,99655,0.061,3.464,9452,0.061,3.495,34723,0.061,3.495,565,0.063,3.439,2902,0.063,3.439,142,0.055,3.409,361,0.062,3.409
,!,013_Plasma_S1P-3uL_Sample_F02B,013_Plasma_S1P-3uL_Sample_F02B.d,Sample,,5/3/2017 9:48 PM,20234,0.062,3.462,82202,0.061,3.462,13054682,0.069,3.615,3565,0.060,3.526,11956,0.060,3.526,1795,0.066,3.495,3987,0.061,3.495,18151,0.061,3.441,25970,0.062,3.441,35094,0.061,3.464,106839,0.061,3.464,10487,0.061,3.495,33590,0.062,3.495,708,0.063,3.439,3781,0.062,3.439,219,0.064,3.401,438,0.065,3.409
,!,014_Plasma_S1P-3uL_PQC_03,014_Plasma_S1P-3uL_PQC_03.d,Sample,,5/3/2017 9:59 PM,24580,0.062,3.470,79081,0.061,3.462,14190372,0.070,3.615,5226,0.060,3.526,14582,0.060,3.526,1838,0.064,3.495,4310,0.061,3.495,12848,0.062,3.441,19420,0.063,3.441,34000,0.060,3.464,107981,0.061,3.464,9550,0.061,3.495,32951,0.061,3.495,756,0.063,3.447,3624,0.062,3.439,184,0.062,3.409,377,0.062,3.409
,!,015_Plasma_S1P-3uL_TQC_07,015_Plasma_S1P-3uL_TQC_07.d,Sample,,5/3/2017 10:09 PM,26732,0.062,3.470,85880,0.061,3.462,15671509,0.068,3.615,5140,0.061,3.526,17002,0.060,3.526,1990,0.066,3.495,4450,0.061,3.495,15669,0.062,3.441,22359,0.062,3.441,34715,0.061,3.464,114217,0.061,3.464,11128,0.061,3.495,36158,0.061,3.495,592,0.059,3.439,3618,0.062,3.439,329,0.065,3.401,348,0.058,3.401
,!,016_Plasma_S1P-3uL_Sample_F17Q,016_Plasma_S1P-3uL_Sample_F17Q.d,Sample,,5/3/2017 10:19 PM,24049,0.061,3.462,79386,0.061,3.462,14944791,0.068,3.615,5646,0.060,3.526,17544,0.060,3.526,2180,0.064,3.495,5099,0.061,3.495,20734,0.061,3.441,31450,0.062,3.441,42887,0.061,3.464,146286,0.061,3.464,16668,0.062,3.495,62093,0.061,3.495,865,0.065,3.439,4394,0.061,3.439,468,0.061,3.401,616,0.060,3.409
,!,017_Plasma_S1P-3uL_Sample_F04D,017_Plasma_S1P-3uL_Sample_F04D.d,Sample,,5/3/2017 10:29 PM,21690,0.062,3.462,75555,0.061,3.462,15339066,0.068,3.615,4354,0.060,3.526,15845,0.060,3.526,2137,0.066,3.495,4458,0.061,3.495,16183,0.062,3.441,23966,0.063,3.441,35743,0.061,3.464,109301,0.061,3.464,12261,0.060,3.495,37099,0.061,3.495,482,0.058,3.439,4187,0.062,3.439,201,0.063,3.409,440,0.061,3.409
,!,018_Plasma_S1P-3uL_Sample_F05E,018_Plasma_S1P-3uL_Sample_F05E.d,Sample,,5/3/2017 10:39 PM,25504,0.061,3.462,76481,0.061,3.462,14639666,0.071,3.615,4000,0.060,3.526,14350,0.059,3.526,1954,0.067,3.495,4182,0.061,3.495,15041,0.061,3.441,21636,0.063,3.441,33666,0.060,3.464,102359,0.061,3.464,9026,0.061,3.495,30180,0.061,3.495,804,0.064,3.447,3938,0.062,3.439,162,0.056,3.401,400,0.063,3.409
,!,019_Plasma_S1P-3uL_Sample_F08H,019_Plasma_S1P-3uL_Sample_F08H.d,Sample,,5/3/2017 10:50 PM,23828,0.062,3.462,77792,0.061,3.462,14500116,0.070,3.615,5349,0.060,3.526,19122,0.059,3.526,1976,0.065,3.495,4517,0.061,3.495,15181,0.062,3.441,23256,0.062,3.441,33421,0.061,3.464,112514,0.061,3.464,9908,0.061,3.495,33749,0.061,3.495,825,0.064,3.447,3959,0.062,3.439,290,0.061,3.409,557,0.063,3.401
,!,020_Plasma_S1P-3uL_Sample_F18R,020_Plasma_S1P-3uL_Sample_F18R.d,Sample,,5/3/2017 11:00 PM,22651,0.062,3.462,81241,0.061,3.462,17069836,0.068,3.615,5253,0.060,3.526,17920,0.060,3.526,2273,0.065,3.495,5906,0.061,3.495,12736,0.062,3.441,18764,0.063,3.441,34332,0.060,3.464,105949,0.061,3.464,11762,0.060,3.495,37377,0.061,3.495,951,0.063,3.439,4186,0.062,3.439,128,0.057,3.409,307,0.062,3.409
,!,021_Plasma_S1P-3uL_PQC_06,021_Plasma_S1P-3uL_PQC_06.d,Sample,,5/3/2017 11:10 PM,26180,0.062,3.470,72326,0.061,3.462,14186677,0.069,3.615,4978,0.060,3.526,15559,0.059,3.526,1665,0.063,3.495,4086,0.061,3.495,13935,0.061,3.441,19756,0.063,3.441,28690,0.061,3.464,100471,0.061,3.464,10540,0.061,3.495,31818,0.061,3.495,518,0.060,3.439,3468,0.062,3.439,247,0.061,3.409,449,0.064,3.409
,!,022_Plasma_S1P-3uL_TQC_08,022_Plasma_S1P-3uL_TQC_08.d,Sample,,5/3/2017 11:20 PM,28004,0.062,3.470,79956,0.061,3.462,15893348,0.068,3.615,4848,0.060,3.526,15739,0.060,3.526,2080,0.063,3.495,4669,0.061,3.495,14626,0.062,3.441,21840,0.063,3.441,34437,0.061,3.464,119547,0.061,3.464,11537,0.061,3.495,34923,0.061,3.495,821,0.064,3.439,3698,0.062,3.439,136,0.055,3.409,460,0.063,3.409
,!,023_Plasma_S1P-3uL_Sample_F28B,023_Plasma_S1P-3uL_Sample_F28B.d,Sample,,5/3/2017 11:30 PM,36436,0.063,3.470,71610,0.061,3.462,17324234,0.067,3.615,6115,0.060,3.526,19599,0.060,3.526,2106,0.063,3.495,4981,0.061,3.495,15236,0.062,3.441,21350,0.063,3.441,34687,0.061,3.464,112557,0.061,3.464,10477,0.061,3.495,32942,0.060,3.495,911,0.064,3.447,3915,0.062,3.439,149,0.053,3.409,369,0.061,3.409
,!,024_Plasma_S1P-3uL_Sample_F12L,024_Plasma_S1P-3uL_Sample_F12L.d,Sample,,5/3/2017 11:41 PM,18563,0.061,3.462,65025,0.061,3.462,16635967,0.068,3.615,5406,0.060,3.526,15135,0.060,3.526,1775,0.065,3.495,3869,0.061,3.495,12022,0.061,3.434,17430,0.062,3.441,24007,0.061,3.464,77995,0.061,3.464,7519,0.061,3.495,22941,0.061,3.495,823,0.064,3.439,3578,0.061,3.439,181,0.064,3.409,319,0.060,3.409
